127.0.0.1 - - [13/Jun/2019:17:58:13 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:33 -0300] "GET /rendas/ HTTP/1.1" 200 4186
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:33 -0300] "GET /rendas/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=AACFC8CAB933E58C9328FDEF40C9C544?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:33 -0300] "GET /rendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:33 -0300] "GET /rendas/javax.faces.resource/core.js.xhtml;jsessionid=AACFC8CAB933E58C9328FDEF40C9C544?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:33 -0300] "GET /rendas/javax.faces.resource/components.js.xhtml;jsessionid=AACFC8CAB933E58C9328FDEF40C9C544?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:33 -0300] "GET /rendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=AACFC8CAB933E58C9328FDEF40C9C544?ln=primefaces&v=7.0 HTTP/1.1" 200 267442
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:33 -0300] "GET /rendas/javax.faces.resource/components.css.xhtml;jsessionid=AACFC8CAB933E58C9328FDEF40C9C544?ln=primefaces&v=7.0 HTTP/1.1" 200 93207
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:35 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:40 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 17842
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:40 -0300] "GET /rendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:40 -0300] "GET /rendas/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:40 -0300] "GET /rendas/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:40 -0300] "GET /rendas/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:40 -0300] "GET /rendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:40 -0300] "GET /rendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:40 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:45 -0300] "POST /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 17840
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:45 -0300] "GET /rendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:45 -0300] "GET /rendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:45 -0300] "GET /rendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:45 -0300] "GET /rendas/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:45 -0300] "GET /rendas/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:45 -0300] "GET /rendas/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:45 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:48 -0300] "POST /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 17842
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:48 -0300] "GET /rendas/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:48 -0300] "GET /rendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:17:58:48 -0300] "GET /rendas/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
